"SKU";"stock"
"8432377063029";"0"
"8432377063104";"4"
"8432377063913";"20"
"8432377063920";"20"
"8432377063937";"0"
"8432377063944";"20"
"8432377090735";"0"
"8432377090742";"20"
"8432377095778";"20"
"8432377097482";"18"
"8432377097680";"15"
"8432377107341";"20"
"8432377107365";"12"
"8432377107372";"16"
"8432377117432";"0"
"8432377117449";"20"
"8432377117456";"20"
"8432377117463";"20"
"8432377119757";"20"
"8432377119764";"20"
"8432377119771";"0"
"8432377119788";"20"
"8432377119795";"20"
"8432377119801";"0"
"8432377119818";"20"
"8432377119825";"10"
"8432377128483";"20"
"8432377128490";"20"
"8432377128506";"20"
"8432377128544";"7"
"8432377128551";"20"
"8432377128568";"0"
"8432377128582";"20"
"8432377128599";"0"
"8432377128605";"0"
"8432377128612";"20"
"8432377128629";"20"
"8432377128643";"0"
